date,open,high,low,close,volume,value
2020-09-11,20.8,20.8,19.8,20.4,13446251.49908589,273243351.7192478
2020-09-12,20.5,21.2,20.1,21.2,16452172.74107694,339138538.0527117
2020-09-13,21.1,21.2,19.2,20.0,20644147.09161618,418767949.8772241
2020-09-14,20.0,20.2,19.2,19.9,12475482.27409425,245946073.77853888
2020-09-15,19.9,20.1,18.5,18.6,22263638.31155869,429868445.81219774
2020-09-16,18.6,20.0,17.8,20.0,35097618.03885687,674601629.4617145
2020-09-17,20.0,20.8,18.9,19.5,21723482.24678461,429197663.3261088
2020-09-18,19.5,20.2,19.2,20.0,12771474.32890049,251781338.64878997
2020-09-19,20.0,20.2,19.3,19.7,4118466.27122276,80947590.94625328
2020-09-20,19.8,19.8,18.0,18.5,9583562.76629446,181456220.8955663
2020-09-21,18.5,18.8,15.1,16.2,63468214.28601985,1058657769.5583982
2020-09-22,16.2,16.8,15.6,16.6,17129371.07113683,279167562.98684776
2020-09-23,16.6,17.3,15.2,16.2,17193668.6167112,278307421.9597696
2020-09-24,16.3,17.2,15.9,17.0,18055193.9048484,298407191.3831801
2020-09-25,17.1,19.1,16.7,18.4,27498939.65724559,495341282.1768167
2020-09-26,18.5,19.3,18.4,19.2,14244577.76315745,269367757.76346844
2020-09-27,19.2,19.4,17.6,18.0,24558674.73511586,443407126.28477263
2020-09-28,18.0,18.8,17.6,17.6,23374975.87888565,428412374.36746436
2020-09-29,17.6,20.9,17.4,20.2,65254470.49034292,1256829008.8088675
2020-09-30,20.4,23.2,19.5,22.9,79492700.49050051,1700137107.4680982
2020-10-01,22.8,24.1,21.3,22.8,58398538.25797089,1313783508.5418434
2020-10-02,22.8,22.9,19.4,21.2,104019161.68981668,2149693411.4537063
2020-10-03,21.2,23.0,20.4,21.8,33183097.43039314,722579990.2762624
2020-10-04,21.8,25.2,21.4,24.9,53223106.03779006,1229446558.9927306
2020-10-05,24.9,25.5,23.4,24.0,50612915.1265361,1224960154.4388418
2020-10-06,24.0,24.2,20.8,21.4,35028381.61801431,791079812.9020069
2020-10-07,21.4,22.5,20.4,22.1,29031780.75289093,616115321.5869399
2020-10-08,22.1,22.7,20.5,21.9,44221966.18640193,957547591.9007665
